timestamp,TEROS 12 - Soil & Media Electrical Conductivity - 5 cm mS/cm,TEROS 12 - Soil & Media Electrical Conductivity - 45 cm mS/cm
"March 18, 2022",3.396,0
"March 18, 2022",2.648,0
"March 18, 2022",2.458,0
"March 18, 2022",2.335,0
"March 18, 2022",2.25,0
"March 18, 2022",2.191,0
"March 18, 2022",2.156,0
"March 18, 2022",2.116,0
"March 18, 2022",2.078,0
"March 18, 2022",2.058,0
"March 18, 2022",2.032,0
"March 18, 2022",2.016,0
"March 20, 2022",3.016,0
"March 20, 2022",2.542,0
"March 20, 2022",2.44,0
"March 20, 2022",2.392,0
"March 20, 2022",2.346,0
"March 20, 2022",2.317,0
"March 20, 2022",2.304,0
"March 20, 2022",2.287,0
"March 20, 2022",2.283,0
"March 20, 2022",2.273,0
"March 20, 2022",2.262,0
"March 20, 2022",2.273,0
"March 20, 2022",2.269,0
"March 20, 2022",2.27,0
"March 20, 2022",2.278,0
"March 20, 2022",2.291,0
"March 20, 2022",2.32,0
"March 20, 2022",2.349,0
"March 20, 2022",2.355,0
"March 20, 2022",2.39,0
"March 20, 2022",2.405,0
"March 20, 2022",2.427,0
"March 20, 2022",2.441,0
"March 20, 2022",2.474,0
"March 20, 2022",2.473,0
"March 20, 2022",2.492,0
"March 22, 2022",3.722,0
"March 22, 2022",2.821,0
"March 22, 2022",2.625,0
"March 22, 2022",2.547,0
"March 22, 2022",2.51,0
"March 22, 2022",2.471,0
"March 22, 2022",2.452,0
"March 22, 2022",2.444,0
"March 22, 2022",2.416,0
"March 22, 2022",2.391,0
"March 22, 2022",2.376,0
"March 22, 2022",2.369,0
"March 22, 2022",2.359,0
"March 22, 2022",2.362,0
"March 22, 2022",2.346,0
"March 22, 2022",2.35,0
"March 22, 2022",2.338,0
"March 22, 2022",2.35,0
"March 22, 2022",2.344,0
"March 22, 2022",2.351,0
"March 22, 2022",2.341,0
"March 22, 2022",0,3.378
"March 22, 2022",0,3.379
"March 22, 2022",0,3.329
"March 22, 2022",0,3.326
"March 22, 2022",0,3.295
"March 22, 2022",0,3.278
"March 22, 2022",0,3.262
"March 22, 2022",0,3.232
"March 22, 2022",0,3.223
"March 22, 2022",0,3.195
"March 22, 2022",0,3.173
"March 22, 2022",0,3.161
"March 22, 2022",0,3.139
"March 22, 2022",0,3.116
"March 22, 2022",0,3.136
"March 22, 2022",0,3.092
"March 22, 2022",0,3.09
"March 23, 2022",2.711,0
"March 23, 2022",2.498,0
"March 23, 2022",2.426,0
