timestamp,ATMOS 41 - Solar Radiation W/m2,ATMOS 41 - Air Temperature degree_C
8-Jan-22,0,17.7
8-Jan-22,0,17.6
8-Jan-22,0,17.5
8-Jan-22,0,17.3
8-Jan-22,0,17.1
8-Jan-22,0,16.6
8-Jan-22,0,16.1
8-Jan-22,0,15.5
8-Jan-22,0,16
8-Jan-22,0,16.1
8-Jan-22,0,14.7
8-Jan-22,0,14.4
8-Jan-22,0,14.1
8-Jan-22,0,14
8-Jan-22,0,14.3
8-Jan-22,0,14.2
8-Jan-22,0,13.3
8-Jan-22,0,13.9
8-Jan-22,0,13.8
8-Jan-22,0,13.2
9-Jan-22,0,13.6
9-Jan-22,0,13.5
9-Jan-22,0,13
9-Jan-22,0,13.2
9-Jan-22,0,12.6
9-Jan-22,0,11.9
9-Jan-22,0,11.9
9-Jan-22,0,11.9
9-Jan-22,0,12.2
9-Jan-22,0,11.5
9-Jan-22,0,11.2
9-Jan-22,0,11.3
9-Jan-22,0,11.5
9-Jan-22,0,11.3
9-Jan-22,0,10.6
9-Jan-22,0,10.4
9-Jan-22,0,10.3
9-Jan-22,0,10.2
9-Jan-22,0,10.1
9-Jan-22,0,10.3
9-Jan-22,0,10.3
9-Jan-22,0,10
9-Jan-22,0,10
9-Jan-22,0,9.8
9-Jan-22,0,10
9-Jan-22,0,9.6
9-Jan-22,0,9.1
9-Jan-22,0,9
9-Jan-22,2.5,9.3
9-Jan-22,11.4,8
9-Jan-22,27.6,9
9-Jan-22,68.6,10.2
9-Jan-22,109.6,12.4
9-Jan-22,146.7,13.6
9-Jan-22,183.5,14.7
9-Jan-22,220.3,15.4
9-Jan-22,255.5,16
9-Jan-22,275.9,16.6
9-Jan-22,305.9,17.3
9-Jan-22,366.5,18
9-Jan-22,410.3,18.9
9-Jan-22,443.7,19.7
9-Jan-22,472.4,20.2
9-Jan-22,496,20.8
9-Jan-22,516.6,21.4
9-Jan-22,533.3,21.4
9-Jan-22,546.5,21.8
9-Jan-22,552.2,21.9
9-Jan-22,532.9,22.3
9-Jan-22,493.8,22.5
9-Jan-22,511.1,22.7
9-Jan-22,542.2,23
9-Jan-22,550.2,23.2
9-Jan-22,537.8,23.6
9-Jan-22,519.2,23.8
9-Jan-22,486.3,24.2
9-Jan-22,454.5,24.4
9-Jan-22,419.8,24.6
9-Jan-22,371.2,24.8
9-Jan-22,317.8,25
9-Jan-22,267.3,24.9
9-Jan-22,229,24.8
9-Jan-22,184.2,24.7
9-Jan-22,142.7,24.9
9-Jan-22,99.3,24.7
9-Jan-22,65.3,24.7
9-Jan-22,48.6,24.5
9-Jan-22,39.3,24
9-Jan-22,29.7,23.4
9-Jan-22,18.7,22.6
